md5,s3_path,lang,lyrics_data
86df60cbd3a9a358c1e1cd8a8fe70e9d,datasets/audiodomain/music_bitrate_in_kbps_320_zc_1/114897906.mp3,zh-cn,"[[21.4, -1, -1, ""饭菜的香""], [26.52, -1, -1, ""晕开懵懂的 旧时光""], [34.4, -1, -1, ""你的身旁""], [38.63, -1, -1, ""心船停留的港""], [46.9, -1, -1, ""我是你生命的延续""], [52.66, -1, -1, ""却不能陪你到幸福结局""], [58.32, -1, -1, ""风吹散往昔 假如世界没有你""], [67.83, -1, -1, ""我去哪里""], [71.55, -1, -1, ""拜托 借我 一段光阴""], [77.3, -1, -1, ""陪伴你到天明 哦""], [82.82, -1, -1, ""雨水不解风情 淋湿我的情绪""], [92.14, -1, -1, ""汇成两行泪意""], [95.71, -1, -1, ""拜托 借我 一段光阴""], [101.75, -1, -1, ""诉说完 此生的爱意""], [107.03, -1, -1, ""爱来过的痕迹""], [110.17, -1, -1, ""是你悄然路过 我的生命""], [132.72, -1, -1, ""饭菜的香""], [137.13, -1, -1, ""晕开懵懂的 旧时光""], [145.02, -1, -1, ""你的身旁""], [149.53, -1, -1, ""心船停留的港""], [157.11, -1, -1, ""我是你生命的延续""], [162.54, -1, -1, ""却不能陪你到幸福结局""], [169.19, -1, -1, ""风吹散往昔 假如世界没有你""], [178.9, -1, -1, ""我去哪里""], [181.88, -1, -1, ""拜托 借我 一段光阴""], [188.08, -1, -1, ""陪伴你到天明 哦""], [193.85, -1, -1, ""雨水不解风情 淋湿我的情绪""], [202.35, -1, -1, ""汇成两行泪意""], [206.3, -1, -1, ""拜托 借我 一段光阴""], [212.55, -1, -1, ""诉说完 此生的爱意""], [217.61, -1, -1, ""爱来过的痕迹""], [220.79, -1, -1, ""是你悄然路过 我的生命""], [231.26, -1, -1, ""拜托 借我 一段光阴""], [237.03, -1, -1, ""陪伴你到天明 哦""], [243.03, -1, -1, ""雨水不解风情 淋湿我的情绪""], [252.14, -1, -1, ""汇成两行泪意""], [255.88, -1, -1, ""拜托 借我 一段光阴""], [261.85, -1, -1, ""诉说完 此生的爱意""], [266.58, -1, -1, ""爱来过的痕迹""], [270.24, -1, -1, ""是你悄然路过 我的生命""]]"
508808e9c29735d4ae1157115d3016fe,datasets/audiodomain/music_bitrate_in_kbps_320_zc_1/93282972.mp3,zh-cn,"[[15.85, -1, -1, ""风带着他走上 最长的旅途""], [23.51, -1, -1, ""一路跟着晚霞 再没有停下""], [31.03, -1, -1, ""拥着温暖星光 也吻过夜里的花""], [38.56, -1, -1, ""一路肆意流浪 还记得故乡吗""], [49.05, -1, -1, ""任生命穿梭 时间的角落""], [56.55, -1, -1, ""他静静看着人们 爱过和恨过""], [64.11, -1, -1, ""随时间漂泊 随它忘了或记得""], [71.67, -1, -1, ""他离开她的回忆重复的活着""], [108.9, -1, -1, ""风带着他走上 最长的旅途""], [116.39, -1, -1, ""一路跟着晚霞 再没有停下""], [123.56, -1, -1, ""拥着温暖星光 也吻过夜里的花""], [130.89, -1, -1, ""一路肆意流浪 还记得故乡吗""], [137.67, -1, -1, ""任生命穿梭 时间的角落""], [144.92, -1, -1, ""他静静看着人们 爱过和恨过""], [152.23, -1, -1, ""随时间漂泊 随它忘了或记得""], [159.57, -1, -1, ""他离开她的回忆重复的活着""], [167.27, -1, -1, ""任生命穿梭 时间的角落""], [174.34, -1, -1, ""他静静看着人们 爱过和恨过""], [181.66, -1, -1, ""随时间漂泊 随它忘了或记得""], [189.42, -1, -1, ""他离开她的回忆重复的活着""], [196.86, -1, -1, ""离开她的回忆后重复的活着""]]"
f2671e10ebdcf43bfc4e1526ecfdc407,datasets/audiodomain/music_bitrate_in_kbps_320_zc_1/51672503.mp3,zh-cn,"[[26.81, -1, -1, ""若非前世未了缘""], [32.97, -1, -1, ""何来今生未了情""], [38.86, -1, -1, ""千山万水人海中""], [45.43, -1, -1, ""偏偏与你 一见倾心""], [51.4, -1, -1, ""若是今生未了情""], [57.45, -1, -1, ""相约来生再还你""], [63.81, -1, -1, ""度在人生轮回里""], [70.08, -1, -1, ""忘却凡尘 唯不忘相思""], [75.92, -1, -1, ""身在俗世里 心有桃花源""], [82.26, -1, -1, ""思念百转千回 花开彼岸天""], [88.28, -1, -1, ""共看似水流年 走过烟火红尘""], [94.69, -1, -1, ""一生风雨相伴 来生再续缘""], [100.67, -1, -1, ""身在俗世里 心有桃花源""], [106.7, -1, -1, ""思念百转千回 花开彼岸天""], [113.04, -1, -1, ""共看似水流年 走过烟火红尘""], [119.22, -1, -1, ""一生风雨相伴 来生再续缘""], [151.51, -1, -1, ""若是今生未了情""], [157.59, -1, -1, ""相约来生再还你""], [163.9, -1, -1, ""度在人生轮回里""], [169.96, -1, -1, ""忘却凡尘 唯不忘相思""], [176.15, -1, -1, ""身在俗世里 心有桃花源""], [182.16, -1, -1, ""思念百转千回 花开彼岸天""], [188.35, -1, -1, ""共看似水流年 走过烟火红尘""], [194.59, -1, -1, ""一生风雨相伴 来生再续缘""], [200.52, -1, -1, ""身在俗世里 心有桃花源""], [206.72, -1, -1, ""思念百转千回 花开彼岸天""], [213.03, -1, -1, ""共看似水流年 走过烟火红尘""], [219.28, -1, -1, ""一生风雨相伴 来生再续缘""], [225.33, -1, -1, ""身在俗世里 心有桃花源""], [231.4, -1, -1, ""思念百转千回 花开彼岸天""], [237.62, -1, -1, ""共看似水流年 走过烟火红尘""], [243.74, -1, -1, ""一生风雨相伴 来生再续缘""], [251.59, -1, -1, ""一生风雨相伴 来生再续缘""]]"
ac840f74f1636074acb44b2b760f1b6d,datasets/audiodomain/music_bitrate_in_kbps_320_zc_1/34182805.mp3,zh-tw,"[[24.28, -1, -1, ""我怎麼捨得看不見""], [29.09, -1, -1, ""那一張清秀完美的臉""], [34.55, -1, -1, ""雨點掉落下來 打濕整個屋簷""], [39.74, -1, -1, ""你淋濕站在我左邊""], [47.04, -1, -1, ""你美的像幅潑墨畫中的仙""], [53.34, -1, -1, ""我靠近遞你一張手絹""], [57.64, -1, -1, ""你突然的笑了 道謝說得靦腆""], [63.78, -1, -1, ""驟雨停了 你就這樣越走越遠""], [71.04, -1, -1, ""青石板的馬路邊 那離別似空間""], [76.21, -1, -1, ""勾起我不斷對你的思念""], [82.37, -1, -1, ""倘若雨勢再蔓延""], [85.02, -1, -1, ""能再多看你幾眼""], [88.22, -1, -1, ""現唯借手絹吻你的臉""], [93.84, -1, -1, ""淚水劃過我唇邊""], [96.76, -1, -1, ""筆墨揮灑宣紙硯""], [99.97, -1, -1, ""刻畫出對你無盡的思念""], [105.39, -1, -1, ""如果還能在雨天遇見""], [110.38, -1, -1, ""可否能邀畫中的仙 賞花兒月圓""], [140.42, -1, -1, ""你美的像幅潑墨畫中的仙""], [146.02, -1, -1, ""我靠近遞你一張手絹""], [150.68, -1, -1, ""你突然的笑了 道謝說得靦腆""], [156.18, -1, -1, ""驟雨停了 你就這樣越走越遠""], [160.5, -1, -1, ""青石板的馬路邊 那離別似空間""], [169.3, -1, -1, ""勾起我不斷對你的思念""], [173.16, -1, -1, ""倘若雨勢再蔓延""], [178.03, -1, -1, ""能再多看你幾眼""], [181.26, -1, -1, ""現唯借手絹吻你的臉""], [186.62, -1, -1, ""淚水劃過我唇邊""], [190.05, -1, -1, ""筆墨揮灑宣紙硯""], [192.95, -1, -1, ""刻畫出對你無盡的思念""], [198.58, -1, -1, ""如果還能在雨天遇見""], [203.17, -1, -1, ""可否能邀畫中的仙 賞花兒月圓""], [222.16, -1, -1, ""青石板的馬路邊 那離別似空間""], [228.07, -1, -1, ""勾起我不斷對你的思念""], [233.86, -1, -1, ""倘若雨勢再蔓延""], [236.62, -1, -1, ""能再多看你幾眼""], [239.71, -1, -1, ""現唯借手絹吻你的臉""], [245.85, -1, -1, ""淚水劃過我唇邊""], [248.34, -1, -1, ""筆墨揮灑宣紙硯""], [251.48, -1, -1, ""刻畫出對你無盡的思念""], [257.05, -1, -1, ""如果還能在雨天遇見""], [261.69, -1, -1, ""可否能邀畫中的仙 賞花兒月圓""]]"
9b03c5765672840ee62a1c2a2cb7d3cd,datasets/audiodomain/music_bitrate_in_kbps_320_zc_1/97714705.mp3,zh-cn,"[[26.91, -1, -1, ""寂寞的秋天 回不到从前""], [33.54, -1, -1, ""祈求老天淋湿我双眼""], [39.7, -1, -1, ""我们相遇在秋天 相爱也在秋天""], [46.14, -1, -1, ""就连分手泪水也流在秋天""], [52.82, -1, -1, ""你我不该相遇在那个秋天""], [59.57, -1, -1, ""片片枫叶飘落 是我对你思念""], [66.01, -1, -1, ""阵阵秋风吹散你我天各两边""], [72.73, -1, -1, ""你说过再见却再也不见""], [106.92, -1, -1, ""寂寞的秋天 回不到从前""], [113.73, -1, -1, ""祈求老天淋湿我双眼""], [119.91, -1, -1, ""我们相遇在秋天 相爱也在秋天""], [126.04, -1, -1, ""就连分手泪水也流在秋天""], [132.68, -1, -1, ""你我不该相遇在那个秋天""], [139.61, -1, -1, ""片片枫叶飘落 是我对你思念""], [146.28, -1, -1, ""阵阵秋风吹散你我天各两边""], [152.88, -1, -1, ""你说过再见却再也不见""], [159.45, -1, -1, ""你我不该相遇在那个秋天""], [166.14, -1, -1, ""片片枫叶飘落 是我对你思念""], [172.69, -1, -1, ""阵阵秋风吹散你我天各两边""], [179.34, -1, -1, ""你说过再见却再也不见""], [199.41, -1, -1, ""你我不该相遇在那个秋天""], [206.09, -1, -1, ""片片枫叶飘落 是我对你思念""], [212.65, -1, -1, ""阵阵秋风吹散你我天各两边""], [219.22, -1, -1, ""你说过再见却再也不见""], [226.52, -1, -1, ""你说过再见却再也 不见""]]"
b82258b35788c1eb3587b1cbde8d1dfa,datasets/audiodomain/music_bitrate_in_kbps_320_zc_1/46972513.mp3,zh-cn,"[[88.83, -1, -1, ""年轻的人啊 他们让你举起双手""], [94.81, -1, -1, ""有谁在风中颤抖 从清晨到最后""], [102.81, -1, -1, ""做个礼貌的禽兽 还是自由的走狗""], [108.88, -1, -1, ""没人能替你做出选择 因为没有人自由""], [116.5, -1, -1, ""慌张的人羣 广场的钟声在响""], [122.95, -1, -1, ""他站在中央 像只赢弱的山羊""], [131.05, -1, -1, ""想哭就哭吧 想哭就哭吧""], [136.85, -1, -1, ""我可怜的年轻人啊""], [144.75, -1, -1, ""嘿 他不知道该朝向那一方""], [151.18, -1, -1, ""双手合十 沦落于时间毒药和死亡""], [159.02, -1, -1, ""嘿 请不要再晃动他的身体""], [165.02, -1, -1, ""让他留下侥幸的美梦 和避之不及的清晨""], [215.93, -1, -1, ""善良的朋友啊 回答我 究竟要去那儿""], [221.68, -1, -1, ""为何你应生来为王 却落草为寇呢""], [229.93, -1, -1, ""东方天光太刺眼 从此他们生死不见""], [235.9, -1, -1, ""他的背影独自穿过烟雾 找不到回家的路""], [243.82, -1, -1, ""辉煌的围墙 华灯之下总有人吟唱""], [250.03, -1, -1, ""他唱到 不要靠近我 也不要睁开双眼""], [257.98, -1, -1, ""想哭就哭吧 想哭就哭吧""], [263.97, -1, -1, ""哭笑不得的年轻人啊 你看啊""], [287.86, -1, -1, ""碑林尽毁 宾客散去 王国已逝""], [295.69, -1, -1, ""太阳终将迟暮 酒杯在空中爆炸""], [304.83, -1, -1, ""襁褓中的孩子放声大哭""], [309.37, -1, -1, ""苍老的母亲皱纹如刀 沉默著望向远处""], [316.76, -1, -1, ""一万个人就有一万种庆祝""], [320.55, -1, -1, ""想哭就哭吧 想哭就哭吧""], [325.63, -1, -1, ""我可怜的年轻人啊""]]"
af18fd590d9f39c2792608e018fc7013,datasets/audiodomain/music_bitrate_in_kbps_320_zc_1/77486558.mp3,zh-cn,"[[23.24, -1, -1, ""承认这一扇已经错开了的门""], [28.96, -1, -1, ""心难挥去已被结下了梗""], [32.89, -1, -1, ""我爱你走过多糟糕的旅程""], [36.98, -1, -1, ""受伤我没那么坚韧""], [40.4, -1, -1, ""赤裸裸像被无力狞笑活该的人""], [45.89, -1, -1, ""再痛也不适宜问""], [49.96, -1, -1, ""当被你耍 因为傻太单纯""], [56.44, -1, -1, ""我宁愿从未去信任 分就不会伤人""], [66.49, -1, -1, ""心经受暴风的洗礼沦落座空城 好哭的剧本""], [73.89, -1, -1, ""我宁愿从未爱过人 心回不到完整""], [82.13, -1, -1, ""余生不见往后事不闻""], [107.3, -1, -1, ""赤裸裸像被无力狞笑活该的人""], [112.66, -1, -1, ""再痛也不适宜问""], [117.09, -1, -1, ""当被你耍 因为傻太单纯""], [125.27, -1, -1, ""我宁愿从未去信任 分就不会伤人""], [133.39, -1, -1, ""心经受暴风的洗礼沦落座空城 好哭的剧本""], [140.84, -1, -1, ""我宁愿从未爱过人 心回不到完整""], [149.0, -1, -1, ""余生不见不闻""], [156.41, -1, -1, ""我宁愿从未爱过人 心回不到完整""], [164.99, -1, -1, ""余生不见往后事不闻""]]"
302d0004d0b6a4a886ffac238a8887c4,datasets/audiodomain/music_bitrate_in_kbps_320_zc_1/114408575.mp3,zh-cn,"[[21.85, -1, -1, ""或许你是对的""], [27.15, -1, -1, ""没完没了的感受""], [28.0, -1, -1, ""就算是你不懂""], [30.26, -1, -1, ""爱凋零的失落""], [32.11, -1, -1, ""停格在半空中我的手""], [36.99, -1, -1, ""握住的寂寞""], [40.96, -1, -1, ""也被该带走""], [43.88, -1, -1, ""演奏不完的旋律""], [48.37, -1, -1, ""夹杂着我说的爱你""], [53.82, -1, -1, ""遗留在冰冷的手心""], [59.82, -1, -1, ""是我梦中的回忆""], [65.67, -1, -1, ""没所谓即使和你失去的是结果""], [70.06, -1, -1, ""即使剩下的还有些懦弱""], [73.04, -1, -1, ""在夜晚寒冷又失落的时候""], [75.76, -1, -1, ""还会想象我们曾经爱过""], [77.91, -1, -1, ""你说的所有我无条件接受""], [80.87, -1, -1, ""只希望你能够再一次想我""], [83.88, -1, -1, ""就足够""]]"
d4059c6a29ffd3778ec88182ffe2d5be,datasets/audiodomain/music_bitrate_in_kbps_320_zc_1/68586011.mp3,zh-cn,"[[15.18, -1, -1, ""也许""], [16.57, -1, -1, ""我的爱不适合现代的规则""], [21.75, -1, -1, ""有人说 青春太短""], [24.1, -1, -1, ""有感觉就要挥霍""], [28.63, -1, -1, ""并不代表我没有勇气""], [32.14, -1, -1, ""去说爱你""], [35.26, -1, -1, ""当我 抱着你在我的怀里""], [37.89, -1, -1, ""我真的不想再分离 你相不相信""], [42.28, -1, -1, ""爱的温度在继续""], [45.4, -1, -1, ""一切都还来得及""], [49.09, -1, -1, ""慢慢靠近你的心""], [52.46, -1, -1, ""读最深处你的秘密""], [55.14, -1, -1, ""爱需要时间""], [57.49, -1, -1, ""才能够被证明""], [62.99, -1, -1, ""请对我 请对我 有信心""], [66.83, -1, -1, ""I'll promise to you""], [76.7, -1, -1, ""你不知道""], [78.06, -1, -1, ""是因为你我的夏天才来到""], [83.79, -1, -1, ""心疼你昨天流着泪""], [86.87, -1, -1, ""在耳边说爱我""], [90.09, -1, -1, ""当我 抱着你在我的怀里""], [92.64, -1, -1, ""我真的不想再分离""], [94.1, -1, -1, ""别再想太多""], [97.01, -1, -1, ""爱的温度在继续""], [100.49, -1, -1, ""一切都还来得及""], [103.91, -1, -1, ""慢慢靠近你的心""], [107.22, -1, -1, ""读最深处你的秘密""], [109.8, -1, -1, ""爱需要时间""], [112.43, -1, -1, ""才能够被证明""], [117.85, -1, -1, ""请对我 请对我 有信心""], [121.8, -1, -1, ""I'll promise to you""], [125.12, -1, -1, ""用你的喘息来代替叹息""], [128.52, -1, -1, ""当我们在一起 my love""], [133.35, -1, -1, ""未来会变得越来越清晰""], [138.93, -1, -1, ""This time, I feel so right""], [142.16, -1, -1, ""真爱值得等待""], [145.41, -1, -1, ""当你不再顾虑""], [148.6, -1, -1, ""Girl I'm gonna promise it to you""], [151.75, -1, -1, ""爱的温度在继续""], [155.18, -1, -1, ""一切都还来得及""], [158.79, -1, -1, ""慢慢靠近你的心""], [162.16, -1, -1, ""读最深处你的秘密""], [164.84, -1, -1, ""爱需要时间""], [167.14, -1, -1, ""才能够被证明""], [172.64, -1, -1, ""请对我 请对我 有信心""], [176.45, -1, -1, ""I'll promise to you""]]"
d47e92f5c9711333ceb90a1ff8c17f49,datasets/audiodomain/music_bitrate_in_kbps_320_zc_1/70713457.mp3,zh-cn,"[[6.42, -1, -1, ""快要忘了怎么不受伤""], [10.04, -1, -1, ""这世界 满是你的光芒 ohhh""], [19.95, -1, -1, ""你拿着我爱你的心脏""], [24.0, -1, -1, ""妄想着 骑士对你投降 ohhh""], [33.51, -1, -1, ""在你设计的城堡逃荒""], [37.34, -1, -1, ""逃不掉 也不能被爱上 太荒唐""], [47.1, -1, -1, ""这一路荆棘跌跌撞撞""], [50.64, -1, -1, ""终于迷失了方向 我怎能这样""], [59.72, -1, -1, ""独自收场""], [63.67, -1, -1, ""我也应该 是被疼爱的灰姑娘""], [70.42, -1, -1, ""可在你的城堡我只感动了善良""], [77.03, -1, -1, ""是不是王子总看不到灰姑娘的光""], [83.92, -1, -1, ""我也渐渐被你遗忘""], [90.63, -1, -1, ""我也应该 是被疼爱的灰姑娘""], [97.31, -1, -1, ""可你不愿用一生陪我赌一个过往""], [104.04, -1, -1, ""也会有一个人与我互诉衷肠""], [109.98, -1, -1, ""丢掉过往的伤""], [138.3, -1, -1, ""在你设计的城堡逃荒""], [142.28, -1, -1, ""逃不掉 也不能被爱上 太荒唐""], [151.98, -1, -1, ""这一路荆棘跌跌撞撞""], [155.85, -1, -1, ""终于迷失了方向 我怎能这样""], [164.64, -1, -1, ""独自收场""], [168.69, -1, -1, ""我也应该 是被疼爱的灰姑娘""], [175.14, -1, -1, ""可在你的城堡我只感动了善良""], [181.81, -1, -1, ""是不是王子总看不到灰姑娘的光""], [188.69, -1, -1, ""我也渐渐被你遗忘""], [195.35, -1, -1, ""我也应该 是被疼爱的灰姑娘""], [202.02, -1, -1, ""可你不愿用一生陪我赌一个过往""], [208.82, -1, -1, ""也会有一个人与我互诉衷肠""], [214.84, -1, -1, ""丢掉过往的伤""], [219.08, -1, -1, ""破碎又怎样 (破碎又怎样)""], [222.34, -1, -1, ""受伤又怎样 (受伤又怎样)""], [225.68, -1, -1, ""我不愿委屈的为你们着想""], [232.44, -1, -1, ""你光芒万丈 (你光芒万丈)""], [235.94, -1, -1, ""不走近一丈 (不走近一丈)""], [239.29, -1, -1, ""有天我的骑士会懂我善良""], [246.09, -1, -1, ""我也应该是被疼爱的灰姑娘(灰姑娘)""], [252.95, -1, -1, ""可你不愿用一生陪我赌一个过往""], [259.74, -1, -1, ""也会有一个人与我互诉衷肠""], [265.31, -1, -1, ""丢掉过往的伤""], [273.44, -1, -1, ""也会有一个人与我互诉衷肠""], [281.66, -1, -1, ""会有吗""]]"
